facility_index,facility_name,facility_state,is_federal,bill_name,bill_street_1,bill_street_2,bill_city_state_zip,bill_zip_code,ship_name,ship_street_1,ship_street_2,ship_city_state_zip,ship_zip_code,website
994,Indian Creek Correctional Center,VA,0,Indian Creek Correctional Center,P.O. Box 16481,,"Chesapeake, VA 23328-6481",23328,Indian Creek Correctional Center,P.O. Box 16481,,"Chesapeake, VA 23328-6481",23328,https://www.prisonpro.com/content/indian-creek-correctional-center
995,James River Work Center,VA,0,James River Work Center,1954 State Farm Road,,"State Farm, VA 23160",23160,James River Work Center,1954 State Farm Road,,"State Farm, VA 23160",23160,https://www.prisonpro.com/content/james-river-work-center
996,Keen Mountain Correctional Center,VA,0,Keen Mountain Correctional Center,P.O. Box 860,,"Oakwood, VA 24631",24631,Keen Mountain Correctional Center,P.O. Box 860,,"Oakwood, VA 24631",24631,https://www.prisonpro.com/content/keen-mountain-correctional-center
997,Lawrenceville Correctional Center,VA,0,Lawrenceville Correctional Center,1607 Planters Road,,"Lawrenceville, VA 23868",23868,Lawrenceville Correctional Center,1607 Planters Road,,"Lawrenceville, VA 23868",23868,https://www.prisonpro.com/content/lawrenceville-correctional-center-virginia
998,Lunenburg Correctional Center,VA,0,Lunenburg Correctional Center,P.O. Box 1424,,"Victoria, VA 23974",23974,Lunenburg Correctional Center,P.O. Box 1424,,"Victoria, VA 23974",23974,https://www.prisonpro.com/content/lunenburg-correctional-center
999,Marion Treatment Center,VA,0,Marion Treatment Center,110 Wright Street,,"Marion, VA 24354-3145",24354,Marion Treatment Center,110 Wright Street,,"Marion, VA 24354-3145",24354,https://www.prisonpro.com/content/marion-correctional-treatment-center
1000,Medical College of Virginia,VA,0,Medical College of Virginia,401 N. 12th Street,,"Richmond, VA 23298",23298,Medical College of Virginia,401 N. 12th Street,,"Richmond, VA 23298",23298,https://www.prisonpro.com/content/medical-college-virginia
1001,Nottoway Correctional Center,VA,0,Nottoway Correctional Center,P.O. Box 488,,"Burkeville, VA 23922",23922,Nottoway Correctional Center,P.O. Box 488,,"Burkeville, VA 23922",23922,https://www.prisonpro.com/content/nottoway-correctional-center
1002,Patrick Henry Correctional Unit,VA,0,Patrick Henry Correctional Unit,P.O. Box 1090,,"Ridgeway, VA 24148",24148,Patrick Henry Correctional Unit,P.O. Box 1090,,"Ridgeway, VA 24148",24148,https://www.prisonpro.com/content/patrick-henry-correctional-unit
1003,Pocahontas State Correctional Center,VA,0,Pocahontas State Correctional Center,P.O. Box 518,,"Pocahontas, VA 24635-0518",24635,Pocahontas State Correctional Center,P.O. Box 518,,"Pocahontas, VA 24635-0518",24635,https://www.prisonpro.com/content/pocahontas-state-correctional-center
