facility_index,facility_name,facility_state,is_federal,bill_name,bill_street_1,bill_street_2,bill_city_state_zip,bill_zip_code,ship_name,ship_street_1,ship_street_2,ship_city_state_zip,ship_zip_code,website
206,Valley State Prison,CA,0,Valley State Prison,PO Box 92,,"Chowchilla, CA 93610-0092",93610,Valley State Prison,PO Box 92,,"Chowchilla, CA 93610-0092",93610,https://www.prisonpro.com/content/valley-state-prison
207,Wasco State Prison - A Facility,CA,0,Wasco State Prison,PO Box 4400,,"Wasco, CA 93280-4400",93280,Wasco State Prison - A Facility,PO Box 4400,,"Wasco, CA 93280-4400",93280,https://www.prisonpro.com/content/wasco-state-prison
208,Wasco State Prison - B Facility,CA,0,Wasco State Prison,PO Box 5500,,"Wasco, CA 93280-5500",93280,Wasco State Prison - B Facility,PO Box 5500,,"Wasco, CA 93280-5500",93280,https://www.prisonpro.com/content/wasco-state-prison
209,Wasco State Prison - C Facility,CA,0,Wasco State Prison,PO Box 6600,,"Wasco, CA 93280-6600",93280,Wasco State Prison - C Facility,PO Box 6600,,"Wasco, CA 93280-6600",93280,https://www.prisonpro.com/content/wasco-state-prison
210,Wasco State Prison - D Facility,CA,0,Wasco State Prison,PO Box 7700,,"Wasco, CA 93280-7700",93280,Wasco State Prison - D Facility,PO Box 7700,,"Wasco, CA 93280-7700",93280,https://www.prisonpro.com/content/wasco-state-prison
211,Wasco State Prison - E Facility,CA,0,Wasco State Prison,PO Box 3300,,"Wasco, CA 93280-4015",93280,Wasco State Prison - E Facility,PO Box 3300,,"Wasco, CA 93280-4015",93280,https://www.prisonpro.com/content/wasco-state-prison
212,Wasco State Prison - H Facility,CA,0,Wasco State Prison,PO Box 9900,,"Wasco, CA 93280-9900",93280,Wasco State Prison - H Facility,PO Box 9900,,"Wasco, CA 93280-9900",93280,https://www.prisonpro.com/content/wasco-state-prison
213,Arrowhead Correctional Center,CO,0,Arrowhead Correctional Center,PO Box 300,,"Caon City, CO 81215",81215,Arrowhead Correctional Center,PO Box 300,,"Caon City, CO 81215",81215,https://www.prisonpro.com/content/arrowhead-correctional-center
215,Arkansas Valley Correctional Facility,CO,0,Arkansas Valley Correctional Facility,12750 Highway 96 at Lane 13,,"Ordway, CO 81034",81034,Arkansas Valley Correctional Facility,12750 Highway 96 at Lane 13,,"Ordway, CO 81034",81034,https://www.prisonpro.com/content/arkansas-valley-correctional-facility
216,Delta Correctional Center,CO,0,Delta Correctional Center,11363 Lockhart Road,,"Delta, CO 81416",81416,Delta Correctional Center,11363 Lockhart Road,,"Delta, CO 81416",81416,https://www.prisonpro.com/content/delta-correctional-center
217,Denver Reception & Diagnostic Center,CO,0,Denver Reception & Diagnostic Center,P.O. Box 392004,,"Denver, CO 80239-8004",80239,Denver Reception & Diagnostic Center,P.O. Box 392004,,"Denver, CO 80239-8004",80239,https://www.prisonpro.com/content/denver-reception-diagnostic-center
218,Four Mile Correctional Center,CO,0,Four Mile Correctional Center,PO Box 300,,"Caon City, CO 81215",81215,Four Mile Correctional Center,PO Box 300,,"Caon City, CO 81215",81215,https://www.prisonpro.com/content/four-mile-correctional-center
219,Rifle Correctional Center,CO,0,Rifle Correctional Center,200 County Road 219,,"Rifle, CO 81650",81650,Rifle Correctional Center,200 County Road 219,,"Rifle, CO 81650",81650,https://www.prisonpro.com/content/rifle-correctional-center
220,Skyline Correctional Center,CO,0,Skyline Correctional Center,PO Box 300,,"Caon City, CO 81215",81215,Skyline Correctional Center,PO Box 300,,"Caon City, CO 81215",81215,https://www.prisonpro.com/content/skyline-correctional-center
221,Trinidad Correctional Facility,CO,0,Trinidad Correctional Facility,21000 Highway 350 East,,"Model, CO 81059",81059,Trinidad Correctional Facility,21000 Highway 350 East,,"Model, CO 81059",81059,https://www.prisonpro.com/content/trinidad-correctional-facility
222,Youthful Offender System,CO,0,Youthful Offender System,1300 West 13th Street,,"Pueblo, CO 81003",81003,Youthful Offender System,1300 West 13th Street,,"Pueblo, CO 81003",81003,https://www.prisonpro.com/content/youthful-offender-system
223,Bent County Correctional Facility,CO,0,Bent County Correctional Facility,11560 Road FF75,,"Las Animas, CO 81054",81054,Bent County Correctional Facility,11560 Road FF75,,"Las Animas, CO 81054",81054,https://www.prisonpro.com/content/bent-county-correctional-facility
224,Cheyenne Mountain Re-entry Center,CO,0,Cheyenne Mountain Re-entry Center,2925 E. Las Vegas Street,,"Colorado Springs, CO 80906",80906,Cheyenne Mountain Re-entry Center,2925 E. Las Vegas Street,,"Colorado Springs, CO 80906",80906,https://www.prisonpro.com/content/cheyenne-mountain-re-entry-center
225,Crowley County Correctional Facility,CO,0,Crowley County Correctional Facility,6564 State Highway 96,,"Olney Springs, CO 81062",81062,Crowley County Correctional Facility,6564 State Highway 96,,"Olney Springs, CO 81062",81062,https://www.prisonpro.com/content/crowley-county-correctional-facility
226,Kit Carson Correctional Center,CO,0,Kit Carson Correctional Center,P.O. Box 2000,,"Burlington, CO 80807",80807,Kit Carson Correctional Center,P.O. Box 2000,,"Burlington, CO 80807",80807,https://www.prisonpro.com/content/kit-carson-correctional-center
227,Bridgeport Correctional Center,CT,0,Bridgeport Correctional Center,1106 North Avenue,,"Bridgeport, CT 06604",6604,Bridgeport Correctional Center,1106 North Avenue,,"Bridgeport, CT 06604",6604,https://www.prisonpro.com/content/bridgeport-correctional-center
228,Brooklyn Correctional Institution,CT,0,Brooklyn Correctional Institution,59 Hartford Road,,"Brooklyn, CT 06234",6234,Brooklyn Correctional Institution,59 Hartford Road,,"Brooklyn, CT 06234",6234,https://www.prisonpro.com/content/brooklyn-correctional-institution
229,Cheshire Correctional Institution,CT,0,Cheshire Correctional Institution,900 Highland Avenue,,"Cheshire, CT 06410",6410,Cheshire Correctional Institution,900 Highland Avenue,,"Cheshire, CT 06410",6410,https://www.prisonpro.com/content/cheshire-correctional-institution
230,Corrigan-Radgowski Correctional Center,CT,0,Corrigan-Radgowski Correctional Center,986 Norwich-New London Turnpike,,"Uncasville, CT 06382",6382,Corrigan-Radgowski Correctional Center,986 Norwich-New London Turnpike,,"Uncasville, CT 06382",6382,https://www.prisonpro.com/content/corriganradgowski-correctional-center
231,Enfield Correctional Institution,CT,0,Enfield Correctional Institution,PO Box 1500,,"Enfield, CT 06082",6082,Enfield Correctional Institution,PO Box 1500,,"Enfield, CT 06082",6082,https://www.prisonpro.com/content/enfield-correctional-institution
232,Garner Correctional Institution,CT,0,Garner Correctional Institution,PO Box 5500,,"Newtown, CT 06470",6470,Garner Correctional Institution,PO Box 5500,,"Newtown, CT 06470",6470,https://www.prisonpro.com/content/garner-correctional-institution
233,Hartford Correctional Center,CT,0,Hartford Correctional Center,177 Weston Street,,"Hartford, CT 06120",6120,Hartford Correctional Center,177 Weston Street,,"Hartford, CT 06120",6120,https://www.prisonpro.com/content/hartford-correctional-center
234,MacDougall-Walker Correctional Institution,CT,0,MacDougall-Walker Correctional Institution,"1153 East Street, South",,"Suffield, CT 06080",6080,MacDougall-Walker Correctional Institution,"1153 East Street, South",,"Suffield, CT 06080",6080,https://www.prisonpro.com/content/macdougall-walker-correctional-institution
235,Manson Youth Institution,CT,0,Manson Youth Institution,42 Jarvis Street,,"Cheshire, CT 06410",6410,Manson Youth Institution,42 Jarvis Street,,"Cheshire, CT 06410",6410,https://www.prisonpro.com/content/manson-youth-institution
236,New Haven Correctional Center,CT,0,New Haven Correctional Center,PO Box 8000,,"New Haven, CT 06511",6511,New Haven Correctional Center,PO Box 8000,,"New Haven, CT 06511",6511,https://www.prisonpro.com/content/new-haven-correctional-center
237,Northern Correctional Institution,CT,0,Northern Correctional Institution,PO Box 665,,"Somers, CT 06071",6071,Northern Correctional Institution,PO Box 665,,"Somers, CT 06071",6071,https://www.prisonpro.com/content/northern-correctional-institution
238,Osborn Correctional Institution,CT,0,Osborn Correctional Institution,PO Box 100,,"Somers, CT 06071",6071,Osborn Correctional Institution,PO Box 100,,"Somers, CT 06071",6071,https://www.prisonpro.com/content/osborn-correctional-institution
239,Robinson Correctional Institution,CT,0,Robinson Correctional Institution,PO Box 1400,,"Enfield, CT 06082",6082,Robinson Correctional Institution,PO Box 1400,,"Enfield, CT 06082",6082,https://www.prisonpro.com/content/robinson-correctional-institution
240,Willard-Cybulski Correctional Institution,CT,0,Willard-Cybulski Correctional Institution,391 Shaker Road,,"Enfield, CT 06082",6082,Willard-Cybulski Correctional Institution,391 Shaker Road,,"Enfield, CT 06082",6082,https://www.prisonpro.com/content/willard-cybulski-correctional-institution
241,York Correctional Institution,CT,0,York Correctional Institution,201 West Main Street,,"Niantic, CT 06357",6357,York Correctional Institution,201 West Main Street,,"Niantic, CT 06357",6357,https://www.prisonpro.com/content/york-correctional-institution
242,Baylor Women's Correctional Institution,DE,0,Baylor Women's Correctional Institution,660 Baylor Boulevard,,"New Castle, DE 19720",19720,Baylor Women's Correctional Institution,660 Baylor Boulevard,,"New Castle, DE 19720",19720,https://www.prisonpro.com/content/baylor-womens-correctional-institution
243,Central Violation of Probation Center,DE,0,Central Violation of Probation Center,P.O. Box 5003,,"Smyrna, DE 19977",19977,Central Violation of Probation Center,P.O. Box 5003,,"Smyrna, DE 19977",19977,https://www.prisonpro.com/content/central-violation-probation-center
244,Hazel D. Plant Women's Treatment Facility,DE,0,Hazel D. Plant Women's Treatment Facility,620 Baylor Blvd,,"New Castle, DE 19720",19720,Hazel D. Plant Women's Treatment Facility,620 Baylor Blvd,,"New Castle, DE 19720",19720,https://www.prisonpro.com/content/hazel-d-plant-womens-treatment-facility
245,Howard R. Young Correctional Institution,DE,0,Howard R. Young Correctional Institution,P.O. Box 9279,,"Wilmington, DE 19809",19809,Howard R. Young Correctional Institution,P.O. Box 9279,,"Wilmington, DE 19809",19809,https://www.prisonpro.com/content/howard-r-young-correctional-institution
246,James T. Vaughn Correctional Center,DE,0,James T. Vaughn Correctional Center,1181 Paddock Road,,"Smyrna, DE 19977",19977,James T. Vaughn Correctional Center,1181 Paddock Road,,"Smyrna, DE 19977",19977,https://www.prisonpro.com/content/james-t-vaughn-correctional-center
247,Morris Community Corrections Center,DE,0,Morris Community Corrections Center,300 Water Street,,"Dover, DE 19904",19904,Morris Community Corrections Center,300 Water Street,,"Dover, DE 19904",19904,https://www.prisonpro.com/content/morris-community-corrections-center
248,Plummer Community Corrections Center,DE,0,Plummer Community Corrections Center,38 Todds Lane,,"Wilmington, DE 19805",19805,Plummer Community Corrections Center,38 Todds Lane,,"Wilmington, DE 19805",19805,https://www.prisonpro.com/content/plummer-community-corrections-center
249,Sussex Boot Camp,DE,0,Sussex Boot Camp,P.O. Box 500,,"Georgetown, DE 19947",19947,Sussex Boot Camp,P.O. Box 500,,"Georgetown, DE 19947",19947,https://www.prisonpro.com/content/sussex-boot-camp
250,Sussex Community Corrections Center,DE,0,Sussex Community Corrections Center,23207 Dupont Blvd.,,"Georgetown, DE 19947",19947,Sussex Community Corrections Center,23207 Dupont Blvd.,,"Georgetown, DE 19947",19947,https://www.prisonpro.com/content/sussex-community-corrections-center
251,Building & Tier of housing,DE,0,Building & Tier of housing,PO Box 500,,"Georgetown, DE 19947",19947,Building & Tier of housing,PO Box 500,,"Georgetown, DE 19947",19947,https://www.prisonpro.com/content/sussex-correctional-institution
252,Webb Community Correctional Facility,DE,0,Webb Community Correctional Facility,200 Greenbank Road,,"Wilmington, DE 19808",19808,Webb Community Correctional Facility,200 Greenbank Road,,"Wilmington, DE 19808",19808,https://www.prisonpro.com/content/webb-community-correctional-facility
253,Central Detention Facility,DC,0,Central Detention Facility,1901 D Street SE,,"Washington, DC 20003",20003,Central Detention Facility,1901 D Street SE,,"Washington, DC 20003",20003,https://www.prisonpro.com/content/central-detention-facilitydc-jailcorrectional-treatment-facility
254,Correctional Treatment Facility,DC,0,Correctional Treatment Facility,1901 E St. SE,,"Washington, DC 20003",20003,Correctional Treatment Facility,1901 E St. SE,,"Washington, DC 20003",20003,https://www.prisonpro.com/content/central-detention-facilitydc-jailcorrectional-treatment-facility
259,"Apalachee Correctional Institution, East Unit",FL,0,"Apalachee Correctional Institution, East Unit",35 Apalachee Drive,,"Sneads, FL 32460-4166",32460,"Apalachee Correctional Institution, East Unit",35 Apalachee Drive,,"Sneads, FL 32460-4166",32460,https://www.prisonpro.com/content/apalachee-correctional-institution-east-unit
260,"Apalachee Correctional Institution, West Unit",FL,0,"Apalachee Correctional Institution, West Unit",52 West Unit Drive,,"Sneads, FL 32460-4165",32460,"Apalachee Correctional Institution, West Unit",52 West Unit Drive,,"Sneads, FL 32460-4165",32460,https://www.prisonpro.com/content/apalachee-correctional-institution-west-unit
261,Avon Park Correctional Institution,FL,0,Avon Park Correctional Institution,P.O. Box 1100,,"Avon Park, FL 33826-1100",33826,Avon Park Correctional Institution,P.O. Box 1100,,"Avon Park, FL 33826-1100",33826,https://www.prisonpro.com/content/avon-park-correctional-institution
262,Baker Correctional Institution,FL,0,Baker Correctional Institution,20706 U.S. Highway 90 West,,"Sanderson, FL 32087-0500",32087,Baker Correctional Institution,20706 U.S. Highway 90 West,,"Sanderson, FL 32087-0500",32087,https://www.prisonpro.com/content/baker-correctional-institution
263,Bay Correctional Facility,FL,0,Bay Correctional Facility,5400 Bayline Drive,,"Panama City, FL 32404-5492",32404,Bay Correctional Facility,5400 Bayline Drive,,"Panama City, FL 32404-5492",32404,https://www.prisonpro.com/content/bay-correctional-facility
264,Blackwater River Correctional Facility,FL,0,Blackwater River Correctional Facility,5914 Jeff Ates Road,,"Milton, FL 32583-0000",32583,Blackwater River Correctional Facility,5914 Jeff Ates Road,,"Milton, FL 32583-0000",32583,https://www.prisonpro.com/content/blackwater-river-correctional-facility
265,Calhoun Correctional Institution,FL,0,Calhoun Correctional Institution,19562 SE Institution Dr.,,"Blountstown, FL 32424-5156",32424,Calhoun Correctional Institution,19562 SE Institution Dr.,,"Blountstown, FL 32424-5156",32424,https://www.prisonpro.com/content/calhoun-correctional-institution
266,Central Florida Reception Center,FL,0,Central Florida Reception Center,7000 H C Kelley Rd.,,"Orlando, FL 32831-2518",32831,Central Florida Reception Center,7000 H C Kelley Rd.,,"Orlando, FL 32831-2518",32831,https://www.prisonpro.com/content/central-florida-reception-center
267,"Central Florida Reception Center, East Unit",FL,0,"Central Florida Reception Center, East Unit",7000 H C Kelley Rd.,,"Orlando, FL 32831-2518",32831,"Central Florida Reception Center, East Unit",7000 H C Kelley Rd.,,"Orlando, FL 32831-2518",32831,https://www.prisonpro.com/content/central-florida-reception-center-east-unit
268,"Central Florida Reception Center, South Unit",FL,0,"Central Florida Reception Center, South Unit",7000 H C Kelley Rd.,,"Orlando, FL 32831-2518",32831,"Central Florida Reception Center, South Unit",7000 H C Kelley Rd.,,"Orlando, FL 32831-2518",32831,https://www.prisonpro.com/content/central-florida-reception-center-south-unit
269,Century Correctional Institution,FL,0,Century Correctional Institution,400 Tedder Road,,"Century, FL 32535-3659",32535,Century Correctional Institution,400 Tedder Road,,"Century, FL 32535-3659",32535,https://www.prisonpro.com/content/century-correctional-institution
270,Charlotte Correctional Institution,FL,0,Charlotte Correctional Institution,33123 Oil Well Road,,"Punta Gorda, FL 33955-9701",33955,Charlotte Correctional Institution,33123 Oil Well Road,,"Punta Gorda, FL 33955-9701",33955,https://www.prisonpro.com/content/charlotte-correctional-institution
271,Columbia Correctional Institution,FL,0,Columbia Correctional Institution,216 S.E. Corrections Way,,"Lake City, FL 32025-2013",32025,Columbia Correctional Institution,216 S.E. Corrections Way,,"Lake City, FL 32025-2013",32025,https://www.prisonpro.com/content/columbia-correctional-institution-florida
272,Cross City Correctional Institution,FL,0,Cross City Correctional Institution,568 N.E. 255th Street,,"Cross City, FL 32628",32628,Cross City Correctional Institution,568 N.E. 255th Street,,"Cross City, FL 32628",32628,https://www.prisonpro.com/content/cross-city-correctional-institution
273,Dade Correctional Institution,FL,0,Dade Correctional Institution,19000 S.W. 377th Street,,"Florida City, FL 33034-6409",33034,Dade Correctional Institution,19000 S.W. 377th Street,,"Florida City, FL 33034-6409",33034,https://www.prisonpro.com/content/dade-correctional-institution
274,Desoto Annex,FL,0,Desoto Annex,13617 S.E. Highway 70,,"Arcadia, FL 34266-7800",34266,Desoto Annex,13617 S.E. Highway 70,,"Arcadia, FL 34266-7800",34266,https://www.prisonpro.com/content/desoto-annex
275,Everglades Correctional Institution,FL,0,Everglades Correctional Institution,1599 S.W. 187th Avenue,,"Miami, FL 33194",33194,Everglades Correctional Institution,1599 S.W. 187th Avenue,,"Miami, FL 33194",33194,https://www.prisonpro.com/content/everglades-correctional-institution
276,Florida State Prison,FL,0,Florida State Prison,Post Office Box 800,,"Raiford, FL 32083",32083,Florida State Prison,Post Office Box 800,,"Raiford, FL 32083",32083,https://www.prisonpro.com/content/florida-state-prison
277,Franklin Correctional Institution,FL,0,Franklin Correctional Institution,1760 Highway 67 North,,"Carrabelle, FL 32322",32322,Franklin Correctional Institution,1760 Highway 67 North,,"Carrabelle, FL 32322",32322,https://www.prisonpro.com/content/franklin-correctional-institution
278,Gadsden Correctional Facility,FL,0,Gadsden Correctional Facility,6044 Greensboro Highway,,"Quincy, FL 32351-9100",32351,Gadsden Correctional Facility,6044 Greensboro Highway,,"Quincy, FL 32351-9100",32351,https://www.prisonpro.com/content/gadsden-correctional-facility
279,Graceville Correctional Facility,FL,0,Graceville Correctional Facility,5168 Ezell Rd.,,"Graceville, FL 32440",32440,Graceville Correctional Facility,5168 Ezell Rd.,,"Graceville, FL 32440",32440,https://www.prisonpro.com/content/graceville-correctional-institution
280,Gulf Correctional Institution,FL,0,Gulf Correctional Institution,500 Ike Steele Road,,"Wewahitchka, FL 32465-0010",32465,Gulf Correctional Institution,500 Ike Steele Road,,"Wewahitchka, FL 32465-0010",32465,https://www.prisonpro.com/content/gulf-correctional-institution
281,Hamilton Correctional Institution,FL,0,Hamilton Correctional Institution,10650 S.W. 46th Street,,"Jasper, FL 32052-1360",32052,Hamilton Correctional Institution,10650 S.W. 46th Street,,"Jasper, FL 32052-1360",32052,https://www.prisonpro.com/content/hamilton-correctional-institution
282,Hardee Correctional Institution,FL,0,Hardee Correctional Institution,6901 State Road 62,,"Bowling Green, FL 33834-9505",33834,Hardee Correctional Institution,6901 State Road 62,,"Bowling Green, FL 33834-9505",33834,https://www.prisonpro.com/content/hardee-correctional-institution
283,Hernando Correctional Institution,FL,0,Hernando Correctional Institution,16415 Spring Hill Drive,,"Brooksville, FL 34604-8167",34604,Hernando Correctional Institution,16415 Spring Hill Drive,,"Brooksville, FL 34604-8167",34604,https://www.prisonpro.com/content/hernando-correctional-institution
284,Holmes Correctional Institution,FL,0,Holmes Correctional Institution,3142 Thomas Drive,,"Bonifay, FL 32425-0190",32425,Holmes Correctional Institution,3142 Thomas Drive,,"Bonifay, FL 32425-0190",32425,https://www.prisonpro.com/content/holmes-correctional-institution
285,Homestead Correctional Institution,FL,0,Homestead Correctional Institution,19000 S.W. 377th Street,,"Florida City, FL 33034-6409",33034,Homestead Correctional Institution,19000 S.W. 377th Street,,"Florida City, FL 33034-6409",33034,https://www.prisonpro.com/content/homestead-correctional-institution
286,Jackson Correctional Institution,FL,0,Jackson Correctional Institution,5563 10th Street,,"Malone, FL 32445-3144",32445,Jackson Correctional Institution,5563 10th Street,,"Malone, FL 32445-3144",32445,https://www.prisonpro.com/content/jackson-correctional-institution
287,Jefferson Correctional Institution,FL,0,Jefferson Correctional Institution,1050 Big Joe Road,,"Monticello, FL 32344-0430",32344,Jefferson Correctional Institution,1050 Big Joe Road,,"Monticello, FL 32344-0430",32344,https://www.prisonpro.com/content/jefferson-correctional-institution
288,Lake City Correctional Facility,FL,0,Lake City Correctional Facility,7906 East Highway 90,,"Lake City, FL 32055-6290",32055,Lake City Correctional Facility,7906 East Highway 90,,"Lake City, FL 32055-6290",32055,https://www.prisonpro.com/content/lake-city-correctional-facility
289,Lake Correctional Institution,FL,0,Lake Correctional Institution,19225 U.S. Highway 27,,"Clermont, FL 34715-9025",34715,Lake Correctional Institution,19225 U.S. Highway 27,,"Clermont, FL 34715-9025",34715,https://www.prisonpro.com/content/lake-correctional-institution
290,Lancaster Correctional Institution,FL,0,Lancaster Correctional Institution,3449 S.W. State Road 26,,"Trenton, FL 32693-5641",32693,Lancaster Correctional Institution,3449 S.W. State Road 26,,"Trenton, FL 32693-5641",32693,https://www.prisonpro.com/content/lancaster-correctional-institution
291,Lawtey Correctional Institution,FL,0,Lawtey Correctional Institution,7819 N.W. 228th Street,,"Raiford, FL 32026-2000",32026,Lawtey Correctional Institution,7819 N.W. 228th Street,,"Raiford, FL 32026-2000",32026,https://www.prisonpro.com/content/lawtey-correctional-institution
292,Liberty Correctional Institution,FL,0,Liberty Correctional Institution,11064 N.W. Dempsey Barron Road,,"Bristol, FL 32321-9711",32321,Liberty Correctional Institution,11064 N.W. Dempsey Barron Road,,"Bristol, FL 32321-9711",32321,https://www.prisonpro.com/content/liberty-correctional-institution
293,Lowell Correctional Institution,FL,0,Lowell Correctional Institution,11120 NW Gainesville Rd.,,"Ocala, FL 34482-1479",34482,Lowell Correctional Institution,11120 NW Gainesville Rd.,,"Ocala, FL 34482-1479",34482,https://www.prisonpro.com/content/lowell-correctional-institution-annex
294,Madison Correctional Institution,FL,0,Madison Correctional Institution,382 Southwest MCI Way,,"Madison, FL 32340",32340,Madison Correctional Institution,382 Southwest MCI Way,,"Madison, FL 32340",32340,https://www.prisonpro.com/content/madison-correctional-institution
295,Marion Correctional Institution,FL,0,Marion Correctional Institution,P.O. Box 158,,"Lowell, FL 32663-0158",32663,Marion Correctional Institution,P.O. Box 158,,"Lowell, FL 32663-0158",32663,https://www.prisonpro.com/content/marion-correctional-institution
296,Martin Correctional Institution,FL,0,Martin Correctional Institution,1150 S.W. Allapattah Road,,"Indiantown, FL 34956-4397",34956,Martin Correctional Institution,1150 S.W. Allapattah Road,,"Indiantown, FL 34956-4397",34956,https://www.prisonpro.com/content/martin-correctional-institution
297,Mayo Correctional Institution and Annex,FL,0,Mayo Correctional Institution and Annex,8784 US Highway 27 West,,"Mayo, FL 32066-3458",32066,Mayo Correctional Institution and Annex,8784 US Highway 27 West,,"Mayo, FL 32066-3458",32066,https://www.prisonpro.com/content/mayo-correctional-institution-annex
298,Moore Haven Correctional Facility,FL,0,Moore Haven Correctional Facility,Post Office Box 69,,"Moore Haven, FL 33471-8837",33471,Moore Haven Correctional Facility,Post Office Box 69,,"Moore Haven, FL 33471-8837",33471,https://www.prisonpro.com/content/moore-haven-correctional-facility
299,Northwest Florida Reception Center,FL,0,Northwest Florida Reception Center,4455 Sam Mitchell Drive,,"Chipley, FL 32428-3597",32428,Northwest Florida Reception Center,4455 Sam Mitchell Drive,,"Chipley, FL 32428-3597",32428,https://www.prisonpro.com/content/northwest-florida-reception-center-annex
300,Okaloosa Correctional Institution,FL,0,Okaloosa Correctional Institution,3189 Colonel Greg Malloy Road,,"Crestview, FL 32539-6708",32539,Okaloosa Correctional Institution,3189 Colonel Greg Malloy Road,,"Crestview, FL 32539-6708",32539,https://www.prisonpro.com/content/okaloosa-correctional-institution
301,Okeechobee Correctional Institution,FL,0,Okeechobee Correctional Institution,3420 N.E. 168th Street,,"Okeechobee, FL 34972-4824",34972,Okeechobee Correctional Institution,3420 N.E. 168th Street,,"Okeechobee, FL 34972-4824",34972,https://www.prisonpro.com/content/okeechobee-correctional-institution
302,Polk Correctional Institution,FL,0,Polk Correctional Institution,10800 Evans Road,,"Polk City, FL 33868-6925",33868,Polk Correctional Institution,10800 Evans Road,,"Polk City, FL 33868-6925",33868,https://www.prisonpro.com/content/polk-correctional-institution
303,Putnam Correctional Institution,FL,0,Putnam Correctional Institution,128 Yelvington Road,,"East Palatka, FL 32131-2100",32131,Putnam Correctional Institution,128 Yelvington Road,,"East Palatka, FL 32131-2100",32131,https://www.prisonpro.com/content/putnam-correctional-institution
304,Quincy Annex,FL,0,Quincy Annex,2225 Pat Thomas Parkway,,"Quincy, FL 32351",32351,Quincy Annex,2225 Pat Thomas Parkway,,"Quincy, FL 32351",32351,https://www.prisonpro.com/content/quincy-annex
305,Reception and Medical Center,FL,0,Reception and Medical Center,P.O. Box 628,,"Lake Butler, FL 32054-0628",32054,Reception and Medical Center,P.O. Box 628,,"Lake Butler, FL 32054-0628",32054,https://www.prisonpro.com/content/reception-medical-center
306,Santa Rosa Correctional Institution and Annex,FL,0,Santa Rosa Correctional Institution and Annex,5850 East Milton Road,,"Milton, FL 32583-7914",32583,Santa Rosa Correctional Institution and Annex,5850 East Milton Road,,"Milton, FL 32583-7914",32583,https://www.prisonpro.com/content/santa-rosa-correctional-institution-annex
307,South Bay Correctional Facility,FL,0,South Bay Correctional Facility,600 U.S. Highway 27 South,,"South Bay, FL 33493-2233",33493,South Bay Correctional Facility,600 U.S. Highway 27 South,,"South Bay, FL 33493-2233",33493,https://www.prisonpro.com/content/south-bay-correctional-institution
308,South Florida Reception Center,FL,0,South Florida Reception Center,14000 NW 41st Street,,"Doral, FL 33178-3003",33178,South Florida Reception Center,14000 NW 41st Street,,"Doral, FL 33178-3003",33178,https://www.prisonpro.com/content/south-florida-reception-center
309,South Unit,FL,0,South Unit,13910 NW 41st Street,,"Doral, FL 33178-3014",33178,South Unit,13910 NW 41st Street,,"Doral, FL 33178-3014",33178,https://www.prisonpro.com/content/south-florida-reception-center
310,Sumter Correctional Institution,FL,0,Sumter Correctional Institution,9544 County Road 476B,,"Bushnell, FL 33513-0667",33513,Sumter Correctional Institution,9544 County Road 476B,,"Bushnell, FL 33513-0667",33513,https://www.prisonpro.com/content/sumter-correctional-institution
311,Suwannee Correctional Institution,FL,0,Suwannee Correctional Institution,5964 U.S. Highway 90,,"Live Oak, FL 32060",32060,Suwannee Correctional Institution,5964 U.S. Highway 90,,"Live Oak, FL 32060",32060,https://www.prisonpro.com/content/suwannee-correctional-institution-annex
312,Taylor Correctional Institution,FL,0,Taylor Correctional Institution,8501 Hampton Springs Road,,"Perry, FL 32348-8747",32348,Taylor Correctional Institution,8501 Hampton Springs Road,,"Perry, FL 32348-8747",32348,https://www.prisonpro.com/content/taylor-correctional-institution-annex
313,Tomoka Correctional Institution,FL,0,Tomoka Correctional Institution,3950 Tiger Bay Road,,"Daytona Beach, FL 32124-1098",32124,Tomoka Correctional Institution,3950 Tiger Bay Road,,"Daytona Beach, FL 32124-1098",32124,https://www.prisonpro.com/content/tomoka-correctional-institution
314,Union Correctional Institution,FL,0,Union Correctional Institution,P.O. Box 1000,,"Raiford, FL 32083",32083,Union Correctional Institution,P.O. Box 1000,,"Raiford, FL 32083",32083,https://www.prisonpro.com/content/union-correctional-institution
315,Wakulla Correctional Institution,FL,0,Wakulla Correctional Institution,110 Melaleuca Drive,,"Crawfordville, FL 32327-4963",32327,Wakulla Correctional Institution,110 Melaleuca Drive,,"Crawfordville, FL 32327-4963",32327,https://www.prisonpro.com/content/wakulla-correctional-institution-annex
316,Walton Correctional Institution,FL,0,Walton Correctional Institution,691 Institution Road,,"De Funiak Springs, FL 32433-1831",32433,Walton Correctional Institution,691 Institution Road,,"De Funiak Springs, FL 32433-1831",32433,https://www.prisonpro.com/content/walton-correctional-institution
317,Zephyrhills Correctional Institution,FL,0,Zephyrhills Correctional Institution,2739 Gall Boulevard,,"Zephyrhills, FL 33541-9701",33541,Zephyrhills Correctional Institution,2739 Gall Boulevard,,"Zephyrhills, FL 33541-9701",33541,https://www.prisonpro.com/content/zephyrhills-correctional-institution
318,Arrendale State Prison,GA,0,Arrendale State Prison,P.O. Box 709,,"Alto, GA 30510",30510,Arrendale State Prison,P.O. Box 709,,"Alto, GA 30510",30510,https://www.prisonpro.com/content/arrendale-state-prison
